RBD;IVE BÁSICA 2021;IVE MEDIA 2021
24226;63%;NO
24229;89%;NO
24232;75%;NO
24236;95%;NO
24243;88%;NO
24302;82%;NO
24311;81%;NO
24313;71%;NO
24318;90%;NO
24322;100%;NO
24325;82%;NO
24341;100%;NO
24400;75%;NO
24401;92%;NO
24406;86%;NO
24412;93%;NO
24420;90%;NO
24424;93%;NO
24428;93%;NO
24431;89%;NO
24445;93%;NO
24459;99%;NO
24464;64%;NO
24489;93%;NO
24508;93%;NO
24520;84%;NO
24558;49%;NO
24622;70%;NO
24654;90%;NO
24657;88%;NO
24684;77%;NO
24716;96%;NO
24722;93%;NO
24750;100%;NO
24758;81%;NO
24782;73%;NO
24803;93%;NO
24809;86%;NO
24822;93%;NO
24854;83%;NO
24876;95%;NO
24879;96%;NO
24881;82%;NO
24883;92%;NO
24893;83%;NO
24916;83%;NO
24920;64%;NO
24930;90%;NO
24931;64%;NO
24954;87%;NO
24959;72%;NO
24960;92%;NO
24972;87%;NO
24987;86%;NO
24989;83%;NO
24997;94%;NO
24999;87%;NO
25002;97%;NO
25005;91%;NO
25009;97%;NO
25014;93%;NO
25017;76%;NO
25034;89%;NO
25039;83%;NO
25041;94%;NO
25042;80%;NO
25043;97%;NO
25047;86%;NO
25062;98%;NO
25073;70%;NO
25075;70%;NO
25078;96%;NO
25087;82%;NO
25089;88%;NO
25098;87%;NO
25112;65%;NO
25129;87%;NO
25155;84%;NO
25157;95%;NO
25162;97%;NO
25173;92%;NO
25186;94%;NO
25188;84%;NO
25189;96%;NO
25194;87%;NO
25199;64%;NO
25201;91%;NO
25204;94%;NO
25206;89%;NO
25213;100%;NO
25225;87%;NO
25230;82%;NO
25247;99%;NO
25255;79%;NO
25279;85%;NO
25280;96%;NO
25287;93%;NO
25288;89%;NO
25290;78%;NO
25314;85%;NO
25315;85%;NO
25319;96%;NO
25324;93%;NO
25331;94%;NO
25334;43%;NO
25344;96%;NO
25350;81%;NO
25356;79%;NO
25362;99%;NO
25365;97%;NO
25385;74%;NO
25390;95%;NO
25406;82%;NO
25423;95%;NO
25431;94%;NO
25436;80%;NO
25465;85%;NO
25466;64%;NO
25484;82%;NO
25485;91%;NO
25507;72%;NO
25510;93%;NO
25539;93%;NO
25544;95%;NO
25561;92%;NO
25568;83%;NO
25573;94%;NO
25576;93%;NO
25593;64%;NO
25609;90%;NO
25624;90%;NO
25639;90%;NO
25642;99%;NO
25647;91%;NO
25674;83%;NO
25698;95%;NO
25733;81%;NO
25738;91%;NO
25788;87%;NO
25797;90%;NO
25799;91%;NO
25803;98%;NO
25808;89%;NO
25823;86%;NO
25831;75%;NO
25836;51%;NO
25838;69%;NO
25845;95%;NO
25851;78%;NO
25897;97%;NO
25901;90%;NO
25914;79%;NO
25927;66%;NO
25933;89%;NO
25941;84%;NO
25959;83%;NO
25970;88%;NO
25976;89%;NO
25991;81%;NO
26015;90%;NO
26019;92%;NO
26025;94%;NO
26036;36%;NO
26044;94%;NO
26068;71%;NO
26108;78%;NO
26111;83%;NO
26130;85%;NO
26139;84%;NO
26145;100%;NO
26152;83%;NO
26158;86%;NO
26172;84%;NO
26202;96%;NO
26228;72%;NO
26235;90%;NO
26239;96%;NO
26244;92%;NO
26245;84%;NO
26249;85%;NO
26250;93%;NO
26257;82%;NO
26271;88%;NO
26278;84%;NO
26293;89%;NO
26298;76%;NO
26304;57%;NO
26341;95%;NO
26345;81%;NO
26352;83%;NO
26391;60%;NO
26392;71%;NO
26403;56%;NO
26424;72%;NO
26434;95%;NO
26450;89%;NO
26451;87%;NO
26460;82%;NO
26494;83%;NO
26516;77%;NO
26532;91%;NO
26543;92%;NO
30002;87%;NO
30005;79%;NO
30006;89%;NO
30012;86%;NO
31001;93%;NO
31006;100%;NO
31016;94%;NO
31017;100%;NO
31019;90%;NO
31020;100%;NO
31021;98%;NO
31036;84%;NO
31054;90%;NO
31081;81%;NO
31090;91%;NO
31107;94%;NO
31108;81%;NO
31119;49%;NO
31121;97%;NO
31130;80%;NO
31132;100%;NO
31135;91%;NO
31190;81%;NO
31193;89%;NO
31219;86%;NO
31221;87%;NO
31266;87%;NO
31281;67%;NO
31282;80%;NO
31300;87%;NO
31302;90%;NO
31306;90%;NO
31332;93%;NO
31337;97%;NO
31394;86%;NO
31409;100%;NO
31425;93%;NO
31430;93%;NO
31462;95%;NO
31500;85%;NO
31506;89%;NO
32053;78%;NO
32059;92%;NO
32140;86%;NO
40006;75%;NO
40014;59%;NO
40017;79%;NO
40033;92%;NO
40038;94%;NO
40043;77%;NO
40047;95%;NO
40054;69%;NO
40073;79%;NO
40078;91%;NO
40095;100%;NO
40101;83%;NO
40116;100%;NO
40137;96%;NO
40146;89%;NO
40171;84%;NO
40176;66%;NO
40177;74%;NO
40184;81%;NO
40189;96%;NO
40193;81%;NO
40203;100%;NO
40219;86%;NO
40241;82%;NO
40242;86%;NO
40253;87%;NO
40257;85%;NO
40282;86%;NO
40288;98%;NO
40291;91%;NO
40296;94%;NO
40329;94%;NO
40331;93%;NO
40383;89%;NO
40395;80%;NO
40403;94%;NO
40409;89%;NO
40418;83%;NO
40423;94%;NO
40424;95%;NO
40459;98%;NO
41124;77%;NO
41764;73%;NO
