RBD;IVE BÁSICA 2021;IVE MEDIA 2021
10220;73%;85%
10223;NO;87%
10224;75%;79%
10232;73%;84%
10240;78%;79%
10246;79%;81%
10248;NO;87%
10250;85%;90%
10251;86%;87%
10252;80%;77%
10253;81%;87%
10254;87%;91%
10255;NO;91%
10259;57%;72%
10269;84%;84%
10313;74%;85%
10315;77%;76%
10320;82%;86%
10329;59%;75%
10337;84%;85%
10344;85%;87%
10350;72%;76%
10352;79%;87%
10377;81%;83%
10385;84%;84%
10396;NO;92%
10397;NO;91%
10399;NO;92%
10405;89%;94%
10408;93%;92%
10415;74%;82%
10419;NO;93%
10432;96%;93%
10433;89%;86%
10450;87%;90%
10452;86%;85%
10453;NO;96%
10455;94%;90%
10456;NO;94%
10457;91%;94%
10470;84%;89%
10479;83%;85%
10482;91%;88%
10484;82%;86%
10487;77%;81%
10489;89%;89%
10491;78%;77%
10492;77%;79%
10493;81%;86%
10496;NO;91%
10500;91%;94%
10501;88%;89%
10503;64%;78%
10505;80%;86%
10506;88%;87%
10507;NO;91%
10515;90%;91%
10516;88%;89%
10520;90%;89%
10526;NO;91%
10540;79%;81%
10541;NO;95%
10542;86%;90%
10543;NO;90%
10544;NO;93%
10545;NO;95%
10551;97%;93%
10573;NO;94%
10588;90%;87%
10592;92%;98%
10594;76%;83%
10600;81%;84%
10604;88%;89%
10606;84%;86%
10607;94%;93%
10608;78%;83%
10610;68%;71%
10618;70%;78%
10626;86%;87%
10628;86%;87%
10632;89%;92%
10638;86%;88%
10641;90%;94%
10642;NO;92%
10645;88%;84%
10658;84%;86%
10662;71%;82%
10663;NO;94%
10666;90%;94%
10667;95%;95%
10669;94%;87%
10685;77%;81%
10686;89%;90%
10696;82%;85%
10697;NO;94%
10699;89%;94%
10710;64%;72%
10711;NO;89%
10713;88%;89%
10715;90%;84%
10717;NO;96%
10721;88%;90%
10723;56%;64%
10725;NO;93%
10726;86%;82%
10727;94%;94%
10734;82%;90%
10735;95%;98%
10737;95%;100%
10746;NO;91%
10749;83%;87%
10751;NO;96%
10757;90%;86%
10772;69%;78%
10773;88%;92%
10780;NO;93%
10781;NO;94%
10783;91%;91%
10792;93%;94%
10828;75%;82%
10829;94%;94%
10830;NO;96%
10831;78%;79%
10832;91%;92%
10833;87%;89%
10845;NO;95%
10851;83%;85%
10854;88%;94%
10873;75%;86%
10892;82%;84%
10901;81%;85%
10906;67%;72%
10911;NO;93%
10915;85%;81%
10917;87%;84%
10962;49%;65%
10967;NO;86%
10968;NO;87%
10970;83%;84%
11034;NO;93%
11038;NO;96%
11105;94%;93%
11106;70%;77%
11110;NO;98%
11111;100%;96%
11130;72%;75%
11133;90%;90%
11139;NO;94%
11144;96%;93%
11145;83%;86%
11155;93%;94%
11157;69%;68%
11177;92%;93%
11199;94%;92%
11209;83%;94%
11217;95%;95%
11240;81%;81%
11248;95%;96%
11256;61%;75%
11265;88%;89%
11287;NO;95%
11336;88%;90%
11348;86%;83%
11397;84%;87%
11400;NO;98%
11430;73%;77%
11498;99%;99%
11527;NO;98%
11591;93%;98%
11608;96%;92%
11678;67%;70%
11680;53%;64%
11706;96%;97%
11709;95%;90%
11712;88%;88%
11716;95%;95%
11805;92%;89%
11812;73%;80%
11818;96%;98%
11831;NO;89%
11843;74%;78%
11851;82%;81%
11867;90%;80%
11883;NO;94%
11918;NO;91%
11931;93%;92%
11936;92%;91%
11950;85%;87%
11965;89%;87%
11977;86%;91%
11993;69%;77%
11994;92%;96%
12001;97%;97%
12004;NO;97%
12005;96%;96%
12006;NO;96%
12027;97%;99%
12031;86%;88%
12032;62%;66%
12033;NO;95%
12037;85%;85%
12046;83%;82%
12050;100%;97%
12059;100%;100%
12062;NO;93%
12077;80%;83%
12085;83%;80%
12111;85%;87%
12115;91%;91%
12117;NO;87%
12151;92%;91%
12177;NO;84%
12183;59%;64%
12185;96%;100%
12192;94%;94%
12217;NO;92%
12225;92%;87%
12241;81%;87%
12242;86%;88%
12244;80%;83%
12260;54%;72%
12301;76%;80%
12305;82%;78%
12309;80%;82%
12312;94%;94%
12332;NO;89%
12336;NO;93%
12368;96%;98%
12504;90%;85%
12509;76%;78%
12515;77%;74%
12518;78%;81%
12534;89%;90%
12547;86%;88%
12551;NO;87%
12566;90%;90%
12573;72%;76%
12587;73%;74%
12590;84%;86%
12591;85%;80%
12594;76%;72%
12602;84%;81%
12603;83%;88%
12604;75%;76%
12605;78%;83%
12610;NO;94%
12630;91%;92%
12631;73%;76%
12632;88%;88%
12649;84%;89%
12650;89%;87%
12652;81%;84%
12655;85%;89%
12658;89%;86%
12667;62%;71%
12672;63%;67%
12686;88%;88%
12712;92%;93%
12713;93%;91%
12716;89%;87%
12719;85%;82%
12720;85%;78%
12741;91%;79%
12747;86%;92%
12749;88%;91%
12759;NO;96%
12762;59%;68%
12767;90%;93%
12775;87%;82%
12779;51%;63%
12800;61%;69%
12802;79%;82%
12823;79%;79%
12830;NO;82%
12836;86%;84%
12837;83%;83%
12838;58%;62%
12842;84%;87%
12851;66%;74%
